Array Design Name	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Comment[AdditionalFile:CDF]	YG_S98.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-27
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	glass
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	interpro	locus	mgd	pfam	pkr_hanks	refseq	scop	sgd	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.ebi.ac.uk/interpro	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www.informatics.jax.org/	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version																	
Comment[AdditionalFile:txt]	A-AFFY-27_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[swall]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[mgd]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[blocks]	Composite Element Database Entry[ec]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[unigene]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
9640_at		Q04364	d1fcha_		TPR	9640_at			IPR001440						S0004620		
9641_at		P50104			Zn_clus	9641_at			IPR001138	IPB001138					YMR019W		
9642_at		P50264	d1h7wa4		Amino_oxidase	9642_at			IPR002937	IPB000172	1.5.3.11				YMR020W		
9598_at		P35192			Copper-fist	9598_at			IPR001083	IPB001083					S0004623		
9599_at		Q02159	d2ucz__		UQ_con	9599_at			IPR000608	IPB000608	6.3.2.19				YMR022W		
9600_at		P32559	d1egaa1		MMR_HSR1	9600_at			IPR002917	IPB000619					YMR023C		
9601_at		P36516	d1di2a_		dsrm	9601_at			IPR001159						YMR024W		
9602_at		Q04368				9602_at									S0004627		
9603_at		Q04370				9603_at			IPR001841						S0004628		
9604_at		Q04371				9604_at									YMR027W		
9605_at		Q04372			TAP42	9605_at									S0004630		
9606_at		Q05040				9606_at									S0004631		
9607_at		Q05043				9607_at									YMR030W		
9608_at		Q05050				9608_at									YMR031C		
9609_at						9609_at									S0004634		
9610_at		Q05080			SH3	9610_at			IPR001060	PR00452					YMR032W		
9611_at		Q05123				9611_at			IPR004000	IPB004000					YMR033W		
9612_at		Q05131				9612_at									YMR034C		
9613_at		P46972			Peptidase_S26	9613_at			IPR000508	IPB000508	3.4.21.89				YMR035W		
9614_at		P23748	d1qb0a_		Rhodanese	9614_at			IPR001763	IPB001218					YMR036C		
9615_at		P33748	d2adr_1		zf-C2H2	9615_at			IPR000822	IPB000822					YMR037C		
9616_at		P40202	d1ej8a_		HMA	9616_at			IPR006121	IPB001934					YMR038C		
9617_at		P54000	d1pcfa_		PC4	9617_at			IPR003173	IPB003716					YMR039C		
9618_at		Q04210				9618_at									S0004643		
9619_at		Q04212	d1ah4__		aldo_ket_red	9619_at			IPR001395	IPB001395	1.1.1.91				YMR041C		
9575_at		P07249	d1mnma_		SRF-TF	9575_at			IPR002100	IPB002100					S0004645		
9576_at		P11746	d1mnma_		SRF-TF	9576_at			IPR002100	IPB001359					YMR043W		
9577_at		Q04213			PWWP	9577_at			IPR000313	IPB000313					YMR044W		
9578_at		Q02630			Nucleoporin2	9578_at			IPR004325						YMR047C		
9579_at		Q04659				9579_at									YMR048W		
9580_at		Q04660	d1k8kc_		WD40	9580_at			IPR001680	IPB001680					YMR049C		
9581_at		P46671				9581_at									S0004656		
9582_at						9582_at									S0004655		
9583_at		P46679				9583_at									S0004657		
9584_at		P37296			V_ATPase_sub_a	9584_at			IPR002490	IPB002490	3.6.1.34				YMR054W		
9585_at		P26448			TBC	9585_at			IPR000195	IPB000195					YMR055C		
9586_at		P04710			mito_carr	9586_at			IPR002113	IPB001993					YMR056C		
9587_at		Q04674				9587_at									YMR057C		
9588_at		P38993	d1hfua1		Cu-oxidase	9588_at			IPR002355	IPB001117	1.3.3.5				YMR058W		
9589_at		Q04675				9589_at									YMR059W		
9590_at		P50110				9590_at									YMR060C		
9591_at		P25298				9591_at			IPR003107	IPB003107					YMR061W		
9592_at		Q04728			ArgJ	9592_at			IPR002813	IPB002813	2.3.1.1				YMR062C		
9593_at		Q04734				9593_at									YMR063W		
9594_at		P32493				9594_at									YMR064W		
9595_at		Q04746			Tht1	9595_at									S0004669		
9596_at		Q04748				9596_at									S0004670		
9597_at		P54730			UBX	9597_at			IPR001012						YMR067C		
9553_at		Q04749	d2prga_		ank	9553_at			IPR002110						YMR068W		
9554_at		Q04751	d1i12a_		Acetyltransf	9554_at			IPR000182	IPB000182	2.3.1.57				YMR069W		
9555_at		P54785			zf-C2H2	9555_at			IPR000822	PR00308					YMR070W		
9556_at		Q04767				9556_at									YMR071C		
9557_at		Q02486	d1hsm__		HMG_box	9557_at			IPR000910	IPB000135					YMR072W		
9558_at		Q04772	d1ltda2		heme_1	9558_at			IPR001199	IPB000572					S0004677		
9559_at		Q04773	d1eija_		DUF122	9559_at			IPR002836	IPB002836					YMR074C		
9560_at		Q04779	d1fp0a1		PHD	9560_at			IPR001965	PR01449					YMR075W		
9561_at						9561_at									S0004679		
9562_at		Q04264				9562_at									S0004681		
9563_at		Q04272				9563_at									S0004682		
9564_at		P49956	d1iqpa2		AAA	9564_at			IPR000862	PR00364					YMR078C		
9565_at		P24280	d1aua_1		CRAL_TRIO	9565_at			IPR001251	PR00180					YMR079W		
9566_at		P30771				9566_at									YMR080C		
9567_at		P32488				9567_at									YMR081C		
9568_at		Q04276				9568_at									YMR082C		
9569_at		P07246	d1ht0a2		adh_zinc	9569_at			IPR002328	IPB002364	1.1.1.195				YMR083W		
9570_at						9570_at									YMR084W		
9571_at						9571_at									S0004690		
9572_at		Q04279				9572_at									YMR086W		
9573_at						9573_at									YMR086C-A		
9574_at		Q04299				9574_at			IPR002589						YMR087W		
9530_at		Q04301			sugar_tr	9530_at			IPR005828	IPB002897					YMR088C		
9531_at		P40341	d1e32a2		Peptidase_M41	9531_at			IPR005936	PR00819					YMR089C		
9532_at		Q04304	d2cmd_1			9532_at			IPR000846	IPB000319	1.6.99.1				YMR090W		
9533_at		P32832				9533_at									S0004697		
9534_at		P46680	d1k8kc_		WD40	9534_at			IPR001680						YMR092C		
9535_at		Q04305	d1k8kc_		WD40	9535_at			IPR001680						YMR093W		
9536_at		P35203				9536_at									YMR094W		
9537_at		Q03144	d1jvna2		SNO	9537_at			IPR002161	IPB002161					YMR095C		
9538_at		Q03148			SOR_SNZ	9538_at			IPR001852	IPB001269					YMR096W		
9539_at		Q03151			MMR_HSR1	9539_at			IPR005289	IPB002891					YMR097C		
9540_at		Q03153				9540_at									YMR098C		
9541_at		Q03161			Aldose_epim	9541_at			IPR001823	IPB003843					S0004705		
9542_at		Q03162			zf-MYND	9542_at			IPR002893	PR01399					YMR100W		
9543_at		Q03175	d1jp3a_		UPP_synthetase	9543_at			IPR001441	IPB001441	2.5.1.31				S0004707		
9544_at		Q03177	d1k8kc_		WD40	9544_at			IPR001680	IPB001680					YMR102C		
9545_at		Q04436				9545_at									YMR103C		
9546_at		P18961	d1fota_		pkinase	9546_at			IPR002290	IPB000494	2.7.1.38				YMR104C	YKR2	
9547_at		P37012	d3pmga4		PGM_PMM_III	9547_at			IPR005845	IPB001485	5.4.2.2				YMR105C		
9548_at		Q04437	d1jeyb_		ku	9548_at			IPR006164						YMR106C		
9549_at		Q04438				9549_at									YMR107W		
9550_at		P07342	d1jsca2		TPP_enzymes_N	9550_at			IPR000399	IPB000399	4.1.2.38				YMR108W		
9551_at		Q04439				9551_at			IPR001609	PR00049					S0004715		
9552_at		Q04458			aldedh	9552_at			IPR002086	IPB002086	1.2.1.5				YMR110C		
9507_at		Q04461				9507_at									YMR111C		
9508_at		Q99278				9508_at			IPR003103	IPB003103					YMR112C		
9509_at		Q12676	d1jbwa2			9509_at			IPR002350	IPB001645	6.3.2.17				S0004719		
9510_at		Q04471			DUF159	9510_at			IPR003738						YMR114C		
9511_at		Q04472				9511_at									YMR115W		
9512_at		P38011	d1tbga_		WD40	9512_at			IPR001680	IPB001680					YMR116C		
9513_at		P38011	d1tbga_		WD40	9513_at			IPR001680	IPB001680					YMR116C		
9514_at		Q04477				9514_at									YMR117C		
9515_at		Q04487			Sdh_cyt	9515_at			IPR000701	IPB000701					YMR118C		
9516_at		P54074				9516_at				IPB003669					YMR119W		
9517_g_at		P54074				9517_g_at				IPB003669					YMR119W		
9518_at						9518_at									YMR119W-A		
9519_at		P38009	d1ak2_1		MGS	9519_at			IPR004362	IPB000384	3.5.4.10				YMR120C		
9520_at		P54780			Ribosomal_L15e	9520_at			IPR000439	IPB000439					YMR121C		
9521_at		Q03879				9521_at									YMR122C		
9522_at		Q03880				9522_at									S0004730		
9523_at		P39523				9523_at									YMR124W		
9524_at		P34160			MIF4G	9524_at			IPR003890						YMR125W		
9525_at		Q04216				9525_at			IPR000531						YMR126C		
9526_at		P40963			MOZ_SAS	9526_at			IPR002717	IPB002717					YMR127C		
9527_at		Q04217			helicase_C	9527_at			IPR002464	IPB001482					YMR128W		
9528_at		P39685				9528_at									YMR129W		
9529_at		Q04223	d1zrn__		Hydrolase	9529_at			IPR005834		3.1.3.18				YMR130W		
9484_at		Q04225				9484_at			IPR001680						YMR131C		
9485_at		P40206				9485_at									S0004739		
9486_at		P32841			Meiotic_rec114	9486_at			IPR004354	PR01548					YMR133W		
9487_at		P40207				9487_at			IPR001000						YMR134W		
9488_at		P40208				9488_at									YMR135C		
9489_at						9489_at									YMR135W-A		
9490_at		P40209	d1gnf__		GATA	9490_at			IPR000679	IPB000679					YMR136W		
9491_at		P30620				9491_at									YMR137C		
9492_at		P39110	d1fzqa_		arf	9492_at			IPR002046	IPB002891					YMR138W		
9493_at		P38615	d1h8fa_		pkinase	9493_at			IPR000719	IPB000959	2.7.1.38				S0004747	MDS1	
9494_at		P40210			glutaredoxin	9494_at			IPR002109						YMR140W		
9495_at		P40211				9495_at									YMR141C		
9496_at		P40212			Ribosomal_L13e	9496_at			IPR001380	IPB001380					YMR142C		
9497_i_at		P40213	d1fjgi_		Ribosomal_S9	9497_i_at			IPR000754	IPB000754					YMR143W		
9498_f_at		P40213	d1fjgi_		Ribosomal_S9	9498_f_at			IPR000754	IPB000754					YMR143W		
9499_at		P40214				9499_at									YMR144W		
9500_at		P40215	d1d7ya1		pyr_redox	9500_at			IPR001327	PR00368	1.4.1.13				S0004753		
9501_at		P40217	d1tbga_		WD40	9501_at			IPR001680	IPB001680					YMR146C		
9502_at		P40218				9502_at									S0004755		
9503_at		P40219				9503_at									YMR148W		
9504_at		Q02795				9504_at									S0004757		
9505_at		P28627			Peptidase_S26	9505_at			IPR000223	IPB000508	3.4.21.89				S0004758		
9506_at		P28626				9506_at									YMR151W		
9462_at		P28625	d1qora1		adh_zinc	9462_at			IPR002085		1.1.1.14				YMR152W		
9463_at		Q03790				9463_at									S0004762		
9464_at						9464_at									YMR153C-A		
9465_at		Q03792				9465_at			IPR001300						YMR154C		
9466_at		Q03795				9466_at									YMR155W		
9467_at		Q03796				9467_at									S0004765		
9468_at		Q03798				9468_at									YMR157C		
9469_at		Q03799	d1seia_			9469_at			IPR001230	IPB000630					S0004767		
9470_at						9470_at									S0004768		
9471_at		Q03818				9471_at									YMR159C		
9472_at		Q03823				9472_at									YMR160W		
9473_at		P48353	d1fv1a1		DnaJ	9473_at			IPR003095	IPB001623					YMR161W		
9474_at		Q12674			Hydrolase	9474_at			IPR005834	IPB000015	3.6.1.37				YMR162C		
9475_at		Q03824				9475_at									S0004773		
9476_at		Q03825				9476_at				IPB003753					YMR164C		
9477_at		P32567				9477_at									S0004775		
9478_at		Q03829			mito_carr	9478_at			IPR001993	IPB001993					YMR166C		
9479_at		P38920	d1b63a1		HATPase_c	9479_at			IPR003594	IPB002099					S0004777		
9480_at		P40969			Zn_clus	9480_at			IPR001138	IPB001138					YMR168C		
9481_at		P54114	d1bi9a_		aldedh	9481_at			IPR002086	IPB002086	1.5.1.6				YMR169C		
9482_g_at		P54114	d1bi9a_		aldedh	9482_g_at			IPR002086	IPB002086	1.5.1.6				YMR169C		
9483_at		P47771	d1cw3a_		aldedh	9483_at			IPR002086	IPB002086	1.2.1.3				YMR170C		
9439_at		Q03212			SPRY	9439_at			IPR003877						YMR171C		
9440_at		Q03213				9440_at				IPB000135					YMR172W		
9441_at						9441_at									S0004782		
9442_s_at		P18899				9442_s_at				IPB000258					YMR173W		
9443_at						9443_at									S0004785		
9444_at		P01094	d1dpjb_			9444_at									S0004786		
9445_at		P50263				9445_at									YMR175W		
9446_at		Q03214	d1ig6a_		jmjC	9446_at			IPR001606	IPB000756					YMR176W		
9447_at		Q03218			Cation_efflux	9447_at			IPR002524	IPB002524					YMR177W		
9448_at		Q03219	d1eava_		MoCF_biosynth	9448_at			IPR001453						YMR178W		
9449_at		P35209				9449_at									S0004791		
9450_at		Q03220			mRNA_triPase	9450_at			IPR004206						YMR180C		
9451_at		Q03231				9451_at									YMR181C		
9452_at		Q00453			zf-C2H2	9452_at			IPR000822	IPB000822					YMR182C		
9453_at		P39926	d2cbla1		Syntaxin	9453_at			IPR006012	IPB000017					YMR183C		
9454_at		Q03233				9454_at									YMR184W		
9455_at		Q12751				9455_at									S0004797		
9456_at		P15108	d1amw__		HSP90	9456_at			IPR003594	IPB000135					YMR186W		
9457_g_at		P15108	d1amw__		HATPase_c	9457_g_at			IPR001404	IPB000135					S0004798		
9458_at		Q03236				9458_at									YMR187C		
9459_at		Q03246	d1rip__		Ribosomal_S17	9459_at			IPR000266	IPB000266					YMR188C		
9460_at		P49095	d1jg8a_		GDC-P	9460_at			IPR003437	IPB003437	1.4.4.2				YMR189W		
9461_at		P35187	d1fuka_		helicase_C	9461_at			IPR004589	IPB002121					YMR190C		
9416_at		P42933				9416_at									YMR191W		
9417_at		Q04322			TBC	9417_at			IPR000195						YMR192W		
9418_at		P36525			Ribosomal_L28	9418_at			IPR001383	IPB001383					S0004806		
9419_at						9419_at									YMR193C-A		
9420_i_at		P05745			Ribosomal_L36e	9420_i_at			IPR000509	IPB000509					YMR194W		
9421_s_at		P05745			Ribosomal_L36e	9421_s_at			IPR000509	IPB000509					YMR194W		
9422_at		Q04329				9422_at									YMR195W		
9423_at		Q04336				9423_at					3.2.1.106				YMR196W		
9424_at		Q04338				9424_at			IPR000727						YMR197C		
9425_at		Q01649				9425_at									YMR198W		
9426_at		P20437	d1jsub1		cyclin	9426_at			IPR004366	IPB000553					YMR199W		
9427_at		Q03691				9427_at									YMR200W		
9428_at		P28519	d1d4ua1		XPA	9428_at			IPR000345	IPB000465					YMR201C		
9429_at		P32352				9429_at									S0004815		
9430_at		P23644				9430_at			IPR005686						YMR203W		
9431_at		Q03694				9431_at									YMR204C		
9432_at		P16862	d3pfk__		PFK	9432_at			IPR000023	IPB002097	2.7.1.11				YMR205C		
9433_at		Q03695				9433_at									YMR206W		
9434_at		P32874	d1dv1a3		biotin_lipoyl	9434_at			IPR005482	IPB002215	6.4.1.2				S0004820		
9435_at		P07277			GHMP_kinases	9435_at			IPR001745	PR00960	2.7.1.36				YMR208W		
9436_at		Q03648				9436_at									YMR209C		
9437_at		Q03649			abhydrolase	9437_at			IPR000952	IPB000952					YMR210W		
9438_at		Q03652				9438_at				IPB000217					S0004824		
9394_at		Q03653				9394_at									S0004825		
9395_at		Q03654				9395_at			IPR001005						YMR213W		
9396_at		P25303	d1fv1a1		DnaJ_CXXCXGXG	9396_at			IPR002939	PR01228					YMR214W		
9397_at		Q03655				9397_at			IPR004886						YMR215W		
9398_at		Q03656			pkinase	9398_at			IPR002290	IPB000959					YMR216C	dsk1+	
9399_at		P38625	d1gpma3		GMP_synt_C	9399_at			IPR004739	IPB003694	6.3.5.2				YMR217W		
9400_at		Q03660				9400_at									S0004831		
9401_at		Q03661				9401_at									YMR219W		
9402_at		P24521				9402_at			IPR001745	IPB001745					YMR220W		
9403_at		Q04991				9403_at									YMR221C		
9404_at		Q05015			DUF341	9404_at			IPR005645						S0004835		
9405_at		P50102			zf-UBP	9405_at			IPR000345	IPB001607	2.4.2.29				YMR223W		
9406_at		P32829	d1ii7a_		Metallophos	9406_at			IPR004843	IPB003701					YMR224C		
9407_at		P19956				9407_at									S0004838		
9408_at		P19956				9408_at									S0004838		
9409_at		Q05016	d1i01a_		adh_short	9409_at			IPR002347	IPB002198	1.1.1.56				YMR226C		
9410_at		Q05021				9410_at				IPB001580					YMR227C		
9411_at		P14908	d1i4wa_			9411_at									YMR228W		
9412_at		Q05022	d1sro__		S1	9412_at			IPR003107	IPB003107	2.7.7.8				YMR229C		
9413_f_at		P46784			S10_plectin	9413_f_at			IPR005326						S0004843		
9414_f_at		P46784			S10_plectin	9414_f_at			IPR005326						YMR230W		
9415_at		P12868			Clathrin	9415_at			IPR000547						S0004844		
9371_at		Q05670	d1by1a_			9371_at			IPR001331						YMR232W		
9372_at		Q05024			SWIB	9372_at			IPR003121	IPB003121					YMR233W		
9373_at		Q04740	d1jl2a_		rnaseH	9373_at			IPR002156	IPB002156					YMR234W		
9374_at		P11745	d1jl5a_		LRR	9374_at			IPR003592	IPB001978					YMR235C		
9375_at		Q05027			TFIID-31	9375_at			IPR003162	IPB003162					YMR236W		
9376_at		Q05029				9376_at									YMR237W		
9377_at		Q05031			Glyco_hydro_76	9377_at			IPR005198						YMR238W		
9378_at		Q02555			dsrm	9378_at			IPR001159	IPB000999	3.1.26.3				YMR239C		
9379_at		Q02554			DUF382	9379_at									S0004853		
9380_at		Q04013			mito_carr	9380_at			IPR001993	IPB001993					YMR241W		
9381_s_at		P47913			Ribosomal_L18ae	9381_s_at			IPR002670	IPB002768					YMR242C		
9382_at		P20107			Cation_efflux	9382_at			IPR002524	IPB002524					YMR243C		
9383_at		Q04018			SUN	9383_at			IPR005556						YMR244W		
9384_at						9384_at									S0004857		
9385_at		Q04019				9385_at									YMR245W		
9386_at		P47912	d1amua_		AMP-binding	9386_at			IPR000873	IPB000873	6.2.1.3				YMR246W		
9387_at		Q04781	d1chc__			9387_at			IPR001841						S0004861		
9388_at		Q04792				9388_at			IPR002129						S0004862		
9389_at		Q04806				9389_at			IPR004046						YMR251W		
9390_at		Q05827				9390_at									YMR251W-A		
9391_at		Q04814				9391_at									S0004865		
9392_at		Q04835			DUF6	9392_at			IPR000620						S0004866		
9393_at		Q04838				9393_at									YMR254C		
9349_at		Q04839				9349_at			IPR006185						YMR255W		
9350_at		P10174				9350_at									YMR256C		
9351_at		P08468				9351_at									S0004870		
9352_at		Q04847				9352_at									YMR258C		
9353_at		Q03496				9353_at									YMR259C		
9354_at		P38912	d1d7qa_		eIF-1a	9354_at			IPR001253	IPB001253					YMR260C		
9355_at		P38426			Trehalose_PPase	9355_at			IPR003337	IPB003337	2.4.1.15				YMR261C		
9356_at		P38430			TatD_DNase	9356_at			IPR001130	IPB001130					YMR262W		
9357_at		P38429				9357_at				IPB002989					S0004876		
9358_at		P38428			CUE	9358_at			IPR003892	IPB003892					YMR264W		
9359_at		Q03508				9359_at									S0004878		
9360_at		Q03516			DUF221	9360_at			IPR003864	IPB003864					YMR266W		
9361_at		P28239	d1e9ga_		Pyrophosphatase	9361_at			IPR001596	IPB001596	3.6.1.1				YMR267W		
9362_at		P49960			rrm	9362_at			IPR000504						S0004881		
9363_at		Q03525				9363_at				IPB000135					S0004882		
9364_at		P53437				9364_at									YMR270C		
9365_at		P30402	d1oroa_		Pribosyltran	9365_at			IPR004467	IPB002375	2.4.2.7				S0004884		
9366_at		Q03529	d1ltda2		heme_1	9366_at			IPR006087	IPB000572	1.8.3.1				YMR272C		
9367_at		P50111				9367_at									YMR273C		
9368_at		Q03530			Abi	9368_at			IPR003675						YMR274C		
9369_at		P48524				9369_at									S0004888		
9370_at		P48510	d1bt0a_		ubiquitin	9370_at			IPR002173	IPB000626					S0004889		
9326_at		Q03254			NIF	9326_at			IPR004274	IPB000135					S0004890		
9327_at		Q03262	d1k2yx1		PGM_PMM_I	9327_at			IPR005844	IPB001485	5.4.2.2				YMR278W		
9328_at		Q03263				9328_at				PR01036					YMR279C		
9329_at		P39113	d1d66a1		Fungal_trans	9329_at			IPR001138	IPB001138					YMR280C		
9330_at		P23797				9330_at									YMR281W		
9331_at		P22136				9331_at									YMR282C		
9332_at		P23796			Init_tRNA_PT	9332_at									S0004896		
9333_at		P32807	d1jeyb_		ku	9333_at			IPR006164						YMR284W		
9334_at		Q03264			Exo_endo_phos	9334_at			IPR005135						YMR285C		
9335_at		P20084				9335_at			IPR005996	IPB000517					S0004899		
9336_at		P39112			RNB	9336_at			IPR001900	IPB001900					YMR287C		
9337_at		P49955				9337_at			IPR000357						S0004901		
9338_at		Q03266				9338_at			IPR001544						S0004902		
9339_at		Q03532	d1hv8a1		helicase_C	9339_at			IPR001650	IPB000629					YMR290C		
9340_at						9340_at									YMR290W-A		
9341_at		Q03533			pkinase	9341_at			IPR002290	IPB000959					YMR291W	MLCK-K	
9342_at		Q03554			Got1	9342_at									YMR292W		
9343_at		Q03557			Amidase	9343_at			IPR004412	IPB000120	3.5.2.12				YMR293C		
9344_at		P36224				9344_at									YMR294W		
9345_at						9345_at									YMR294W-A		
9346_at		Q03559				9346_at									YMR295C		
9347_at		P25045	d1bs0a_		aminotran_1_2	9347_at			IPR004839	IPB001917	2.3.1.50				S0004911		
9348_at		P00729	d1cpy__		serine_carbpept	9348_at			IPR001563	IPB001563	4.1.2.11				YMR297W		
9304_at		Q03579				9304_at									YMR298W		
9305_at		Q04949				9305_at									S0004914		
9306_at		P04046	d1ecfa2		Pribosyltran	9306_at			IPR002375	IPB000842	2.4.2.14				YMR300C		
9307_at		P40416	d1jj7a_		ABC_tran	9307_at			IPR003593	PR00364					YMR301C		
9308_at		P32843			rrm	9308_at			IPR000504						YMR302C		
9309_at		P00331	d1qora2		adh_zinc	9309_at			IPR002328	IPB002364	1.6.5.5				YMR303C		
9310_at		P50101			UCH-2	9310_at			IPR001394	IPB001394	2.4.2.29				YMR304W		
9311_at						9311_at									S0004919		
9312_at		Q04951				9312_at			IPR000490						S0004921		
9313_at		Q04952			Glucan_synthase	9313_at			IPR003440	IPB003440					YMR306W		
9314_at						9314_at									S0004922		
9315_at		P22146			GAS1	9315_at			IPR004886	IPB000416					YMR307W		
9316_at		P32337	d1qgra_			9316_at			IPR000357	IPB000225					S0004925		
9317_at		P32497			PCI	9317_at			IPR000717						S0004926		
9318_at		Q04867			DUF171	9318_at			IPR003750	IPB003750					YMR310C		
9319_at		P41818				9319_at									S0004928		
9320_at		Q04868				9320_at									YMR312W		
9321_at		P40308			Patatin	9321_at			IPR002641	IPB001423					YMR313C		
9322_at		P40302	d1pmaa_		proteasome	9322_at			IPR001353	IPB000426					YMR314W		
9323_at		Q04869	d1nhp_1		GFO_IDH_MocA_C	9323_at			IPR000683	IPB000683	1.1.1.18				YMR315W		
9324_at		P54005				9324_at			IPR000834						YMR316W		
9325_at						9325_at									YMR316C-A		
9281_at						9281_at									S0004934		
9282_at		Q04893				9282_at				IPB002889					S0004936		
9283_at		Q04894	d1ht0a1		adh_zinc	9283_at			IPR002328	IPB002162	1.2.1.46				YMR318C		
9284_at		P40988			iron_permease	9284_at									YMR319C		
9285_at		Q04897				9285_at									YMR320W		
9286_s_at		Q04898				9286_s_at			IPR003726	IPB003726					YMR321C		
9287_s_at		Q04902	d1g2ia_		DJ-1_PfpI	9287_s_at			IPR002818	IPB002818					YMR322C		
9288_s_at						9288_s_at									S0004942		
9289_at		Q04909				9289_at									S0004943		
9290_f_at		P42221			SRP1_TIP1	9290_f_at			IPR000992	IPB000992					YMR325W		
9291_at		P81450				9291_at									S0007247		
9292_at						9292_at									S0007250		
9293_at						9293_at									S0007472		
9294_at						9294_at									S0007524		
9295_g_at						9295_g_at									YMR122w-a		
9296_at	NC_001145					9296_at											
9297_at	NC_001145					9297_at											
